Rank,Lat_deg,Lon_deg,Topo_m,gD_SH,gD_PH,Error,AbsErr
1,-22.5000,204.0000,8551.1495,694.1629,672.6280,-21.5349,21.5349
2,-7.5000,142.0000,7378.4751,670.9713,654.8978,-16.0735,16.0735
3,6.7500,195.5000,8735.1763,973.4527,958.6547,-14.7980,14.7980
4,-15.0000,177.7500,6982.5294,610.4359,595.8525,-14.5834,14.5834
5,-28.2500,155.2500,7381.4425,612.4432,599.3499,-13.0933,13.0933
6,15.5000,227.7500,8002.7119,835.4962,822.7385,-12.7577,12.7577
7,-10.7500,225.5000,8289.7942,879.6713,867.2452,-12.4262,12.4262
8,-49.0000,128.2500,5615.6313,316.5163,304.4645,-12.0518,12.0518
9,28.2500,197.7500,6195.1249,645.6960,634.1788,-11.5172,11.5172
10,-35.7500,220.5000,5478.4731,337.4188,326.3042,-11.1146,11.1146
