Lat,Lon,Topo_m,gN_SH,err_gN,gE_SH,err_gE,gD_SH,err_gD
-22.5000,204.0000,8551.1495,503.1578,3.0860,153.5804,-1.0749,694.1629,-21.5349
-7.5000,142.0000,7378.4751,30.6629,0.2692,26.2885,0.9413,670.9713,-16.0735
15.5000,227.7500,8002.7119,-191.8746,0.1730,-109.6521,-1.6190,835.4962,-12.7577
-49.0000,128.2500,5615.6313,107.2909,-0.9294,-105.0672,-0.2631,316.5163,-12.0518
8.5000,191.7500,6548.8899,63.4991,-2.2514,213.3409,2.2013,715.7953,-11.9144
-8.0000,255.2500,6711.6043,292.5319,-2.2795,-373.5061,0.9713,645.0012,-10.7757
-50.2500,237.0000,4953.5198,402.3760,-1.1557,339.9129,1.2548,201.4811,-9.7812
-65.7500,0.7500,5050.2829,-80.9881,0.1640,-9.1048,0.1551,251.6558,-8.7865
23.2500,1.7500,3179.0703,-201.1597,0.8167,59.1567,-1.0883,49.9285,-8.1123
-5.0000,102.5000,4382.9634,-61.1470,-1.6308,226.1301,0.9764,353.4486,-8.1015
